stem,company,company_present,company_len,date,date_present,date_len,address,address_present,address_len,total,total_present,total_len,total_format
X51005268262,HOME MASTER HARDWARE & ELECTRICAL,True,33,22/12/2017,True,10,"NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.",True,98,15.90,True,5,NNN.NN       e.g. 9.00
X51005268400,RESTORAN HASSANBISTRO,True,21,12/28/2017,True,10,NO.2-1-1 JALAN SEITA PRIMA Q U 13/Q SEITA ALAM 40170 SHAN ALAM SELANGOR,True,71,15.00,True,5,NNN.NN       e.g. 9.00
X51005268472,ASIA MART,True,9,22/12/2017,True,10,"NO.23 BATU 10, TAMAN SENTOSA, JALAN KAPAR, 42200 KLANG, SELANGOR.",True,65,32.70,True,5,NNN.NN       e.g. 9.00
X51005301659,HOME MASTER HARDWARE & ELECTRICAL,True,33,22/12/2017,True,10,"NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.",True,98,15.90,True,5,NNN.NN       e.g. 9.00
X51005301661,LIGHTROOM GALLERY SDN BHD,True,25,20/12/2017,True,10,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",True,78,73.00,True,5,NNN.NN       e.g. 9.00
X51005301667,LIGHTROOM GALLERY SDN BHD,True,25,20/11/2017,True,10,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",True,78,39.80,True,5,NNN.NN       e.g. 9.00
X51005303661,LIGHTROOM GALLERY SDN BHD,True,25,20/12/2017,True,10,"NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",True,77,73.00,True,5,NNN.NN       e.g. 9.00
X51005306399,SHELL ISNI PETRO TRADING,True,24,18/03/18,True,8,LOT 2685 JLN GENTING KLANG 53300 KL SITE 1066,True,45,86.00,True,5,NNN.NN       e.g. 9.00
X51005337872,SYL ROASTED DELIGHTS SDN. BHD.,True,30,06/03/2018,True,10,"75. JALAN SS 22/19, DAMANSARA JAYA, 47400 PJ",True,44,54.50,True,5,NNN.NN       e.g. 9.00
X51005361883,TEO HENG STATIONERY & BOOKS,True,27,18/01/2018,True,10,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN",True,64,4.90,True,4,NNN.NN       e.g. 9.00
X51005361895,FUYI MINI MARKET,True,16,25/01/2018,True,10,"NO 43-45-47G, TAMAN SEJATI, IJOK, 45600 BESTARI JAYA, KUALA SELANGOR.",True,69,9.00,True,4,NNN.NN       e.g. 9.00
X51005361897,TEO HENG STATIONERY & BOOKS,True,27,17/01/2018,True,10,"NO.53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN",True,63,27.55,True,5,NNN.NN       e.g. 9.00
X51005361898,TEO HENG STATIONERY & BOOKS,True,27,15/01/2018,True,10,"NO.53, JALAN BESAR, 45600 BATANG BEJUNTAL SELANGOR DARUL EHSAN",True,62,55.10,True,5,NNN.NN       e.g. 9.00
X51005361900,TEO HENG STATIONERY & BOOKS,True,27,23/01/2018,True,10,"NO.53,JALAN BESAR,45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN",True,61,18.00,True,5,NNN.NN       e.g. 9.00
X51005361907,TED HENG STATIONERY & BOOKS,True,27,12/02/2018,True,10,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN",True,64,153.35,True,6,NNN.NN       e.g. 9.00
X51005361946,MR. D.I.Y. (M) SDN BHD,True,22,14-03-18,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,37.10,True,5,NNN.NN       e.g. 9.00
X51005361950,99 SPEED MART S/B,True,17,24-01-18,True,8,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1076-IJOK",True,74,2.50,True,4,NNN.NN       e.g. 9.00
X51005365179,C W KHOO HARDWARE SDN BHD,True,25,01-03-18,True,8,"NO.50,JALAN PBS 14/11, KAWASAN PERINDUSTRIAN BUKIT SERDANG,",True,59,21.20,True,5,NNN.NN       e.g. 9.00
X51005433492,UNIHAKKA INTERNATIONAL SDN BHD,True,30,05 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005433494,AEON CO. (M) BHD,True,16,06/03/2018,True,10,"3RD FLR, AEON TAMAN MALURI SD JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",True,81,75.00,True,5,NNN.NN       e.g. 9.00
X51005433514,UNIHAKKA INTERNATIONAL SDN BHD,True,30,03 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI 81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005433522,UNIHAKKA INTERNATIONAL SDN BHD,True,30,10 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,,False,0,missing
X51005433533,PERNIAGAAN ZHENG HUI,True,20,09/03/2018,True,10,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,True,64,332.30,True,6,NNN.NN       e.g. 9.00
X51005433538,UNIHAKKA INTERNATIONAL SDN BHD,True,30,12 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005433541,UNIHAKKA INTERNATIONAL SDN BHD,True,30,14 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005433552,WARAKUYA PERMAS CITY SDN BHD,True,28,10/03/2018,True,10,JALAN PERMAS UTARA 1 PERMAS JAYA 81750 MASAI JOHOR,True,50,57.80,True,5,NNN.NN       e.g. 9.00
X51005433553,YHM AEON TEBRAU CITY,True,20,11/03/2018,True,10,"S117, SECOND FLOOR, AEON TEBRAU CITY, 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU, JOHOR.",True,104,13.10,True,5,NNN.NN       e.g. 9.00
X51005441398,OWNER BY CASTLE BLUE S/B,True,24,30/03/2018,True,10,"AVTIVO PLAZA,LOT B-F-11, BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA, 52000 KL",True,92,189.75,True,6,NNN.NN       e.g. 9.00
X51005441401,THREE STOOGES,True,13,12/03/2018,True,10,"109, SS21/1A, DAMANSARA UTAMA",True,29,343.95,True,6,NNN.NN       e.g. 9.00
X51005441402,THREE STOOGES,True,13,03/03/2018,True,10,"109, SS21/1A, DAMANSARA UTAMA",True,29,174.90,True,6,NNN.NN       e.g. 9.00
X51005441407,TASTE OF THE WORLD SDN BHD,True,26,5/3/2018,True,8,"LOT 38, 39 101 BOULEVARD, JALAN KENARI 5, BANDAR PUCHONG JAYA, 47170 PUCHONG, SELANGOR",True,86,64.15,True,5,NNN.NN       e.g. 9.00
X51005441408,32 PUB & BISTRO OWN BY CNU TRADING,True,34,10-03-2018,True,10,"78G, JALAN SS21/62, DAMANSARA UTAMA, 47400 PETALING JAYA.",True,57,190.00,True,6,NNN.NN       e.g. 9.00
X51005442327,UNIHAKKA INTERNATIONAL SDN BHD,True,30,18 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.60,True,5,other
X51005442333,UNIHAKKA INTERNATIONAL SDN BHD,True,30,27 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$6.90,True,5,other
X51005442338,PASAR MINI JIN SENG,True,19,18/03/18,True,8,"379, JALAN PERMAS SATU, BANDAR BARU PERMAS JAYA 81750 PLENTONG, JOHOR.",True,70,28.60,True,5,NNN.NN       e.g. 9.00
X51005442341,RESTAURANT SIN DU,True,17,09/03/2018,True,10,"K3-113, JL IBRAHIM SULTAN 80300 JOHOR BAHRU JOHOR",True,49,170.00,True,6,NNN.NN       e.g. 9.00
X51005442344,YONG TAT HARDWARE TRADING,True,25,13/03/2018,True,10,"NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU, 81700 PASIR GUDANG, JOHOR.",True,68,100.90,True,6,NNN.NN       e.g. 9.00
X51005442346,PERNIAGAAN ZHENG HUI,True,20,15/03/2018,True,10,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,True,64,8.00,True,4,NNN.NN       e.g. 9.00
X51005442361,TIMELESS KITCHENETTE SDN BHD,True,28,2018-03-23,True,10,"LOT 50, FLOOR T2,SKY AVENUE GENTING HIGHLANDS PAHANG, 69000 PAHANG MALAYSIA",True,75,593.10,True,6,NNN.NN       e.g. 9.00
X51005442376,UNIHAKKA INTERNATIONAL SDN BHD,True,30,22 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$7.60,True,5,other
X51005442378,PAGOH REST AND SERVICE AREA,True,27,23/03/2018,True,10,"LOT R1, KWS REHAT & RAWAT PAGOH ARAH UTARA, SIMPANG AMPAT PAGOH, LEBUHRAYA UTARA SELATAN, 84600,PAGOH,JOHOR",True,107,10.00,True,5,NNN.NN       e.g. 9.00
X51005442379,UNIHAKKA INTERNATIONAL SDN BHD,True,30,24 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$9.20,True,5,other
X51005442383,CARREFOUR RESTAURANT,True,20,20/03/2018,True,10,"18,JALAN PERMAS 10/7 BANDAR BARU PERMAS JAYA, MASAI,JOHOR",True,57,13.80,True,5,NNN.NN       e.g. 9.00
X51005442384,UNIHAKKA INTERNATIONAL SDN BHD,True,30,19 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005442386,UNIHAKKA INTERNATIONAL SDN BHD,True,30,21 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.70,True,5,other
X51005442392,UNIHAKKA INTERNATIONAL SDN BHD,True,30,29 MAR 2018,True,11,"12 JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,72,$7.10,True,5,other
X51005442394,UNIHAKKA INTERNATIONAL SDN BHD,True,30,30 MAR 2018,True,11,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",True,73,$8.20,True,5,other
X51005442397,TRIPLE SIX POINT ENTERPRISE 666,True,31,25-03-2018,True,10,NO 14 & 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY,True,50,7.60,True,4,NNN.NN       e.g. 9.00
X51005444033,BENS INDEPENDENT GROCER SDN. BHD,True,32,12/03/18,True,8,"LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR",True,70,77.20,True,5,NNN.NN       e.g. 9.00
X51005444037,NANDO'S CHICKENLAND MALAYSIA SDN BHD,True,36,28 MAR 18,True,9,"UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUALA LUMPUR",True,70,129.30,True,6,NNN.NN       e.g. 9.00
X51005444045,99 SPEED MART S/B,True,17,19-03-18,True,8,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1245-DESA SRI HARTAMAS",True,87,11.40,True,5,NNN.NN       e.g. 9.00
X51005447832,PETRODELI ENTERPRISE,True,20,26/02/18,True,8,"LOT 485, TMN LEMBAH KERAMAT JLN ULU KELANG,  54200 KUALA LUMPUR",True,63,85.54,True,5,NNN.NN       e.g. 9.00
X51005447833,SUN WONG KUT SDN BHD,True,20,21/02/18,True,8,176 JLN SUNGEI BESI 57100 KUALA LUMPUR.,True,39,88.17,True,5,NNN.NN       e.g. 9.00
X51005447839,RESTAURANT JIAWEI JIAWEI HOUSE,True,30,9/3/2018,True,8,"13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI 57000 KL",True,56,65.20,True,5,NNN.NN       e.g. 9.00
X51005447840,PASARAYA BORONG PINTAR SDN BHD,True,30,14/03/2018,True,10,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI",True,64,8.20,True,4,NNN.NN       e.g. 9.00
X51005447848,LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD,True,46,06/01/18,True,8,"54,JALAN SS23/11 TAMAN SEA,47400 PETALING JAYA,SELANGOR",True,55,53.55,True,5,NNN.NN       e.g. 9.00
X51005447850,PASARAYA BORONG PINTAR SDN BHD,True,30,20180304,True,8,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI",True,64,3.20,True,4,NNN.NN       e.g. 9.00
X51005447852,99 SPEED MART S/B,True,17,20-02-18,True,8,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1249-TMN PANDAN CAHAYA",True,87,9.90,True,4,NNN.NN       e.g. 9.00
X51005447853,99 SPEED MART S/B,True,17,05-02-18,True,8,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317 TRILLIUM S6 BESI",True,86,141.50,True,6,NNN.NN       e.g. 9.00
X51005447860,AEON CO. (M) BHD,True,16,19/02/2018,True,10,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",True,81,17.70,True,5,NNN.NN       e.g. 9.00
X51005447861,POPULAR BOOK CO. (M) SDN BHD,True,28,01/03/18,True,8,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",True,63,49.40,True,5,NNN.NN       e.g. 9.00
X51005453729,LIAN HING STATIONERY SDN BHD,True,28,27/03/2018,True,10,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",True,99,79.50,True,5,NNN.NN       e.g. 9.00
X51005453801,GL HANDICRAFT & TAIL ORING,True,26,20/03/2018,True,10,"19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA",True,61,102.00,True,6,NNN.NN       e.g. 9.00
X51005453802,LIAN HING STATIONERY SDN BHD,True,28,30/03/2018,True,10,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",True,99,159.00,True,6,NNN.NN       e.g. 9.00
X51005453804,LIAN HING STATIONERY SDN BHD,True,28,27/03/2018,True,10,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",True,99,12.00,True,5,NNN.NN       e.g. 9.00
X51005568827,BANH MI CAFE SDN BHD,True,20,29-10-2017,True,10,"NO,1 JALAN PUTERI 7/10 BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA",True,70,23.25,True,5,NNN.NN       e.g. 9.00
X51005568829,THAI DELICIOUS RESTAURANT,True,25,02/02/2017,True,10,"NO.22 JALAN PUTERI 2/4 BANDAR PUTERI 47100 PUCHONG, SELANGOR",True,60,92.80,True,5,NNN.NN       e.g. 9.00
X51005568880,MR.D.I.Y(M)SDN BHD,True,18,19-09-17,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,15.90,True,5,NNN.NN       e.g. 9.00
X51005568881,HON HWA HARDWARE TRADING,True,24,21/09/2017,True,10,"NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",True,62,10.40,True,5,NNN.NN       e.g. 9.00
X51005568884,MR. D.I.Y. SDN BHD,True,18,24-11-17,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,RM 3.90,True,7,CCY+amount   e.g. MYR 9.00
X51005568891,HON HWA HARDWARE TRADING,True,24,08/02/2017,True,10,"NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",True,62,277.00,True,6,NNN.NN       e.g. 9.00
X51005568898,VIVOPAC MARKETING SDN BHD,True,25,30/05/2017,True,10,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,True,37,18.80,True,5,NNN.NN       e.g. 9.00
X51005568899,MR. D.I.Y. SDN BHD,True,18,18-10-17,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,5.90,True,4,NNN.NN       e.g. 9.00
X51005568900,MR. D.I.Y. SDN BHD,True,18,28-12-17,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,9.90,True,4,NNN.NN       e.g. 9.00
X51005568911,MR. D.I.Y. (KUCHAI) SDN BHD,True,27,08-03-17,True,8,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",True,96,37.80,True,5,NNN.NN       e.g. 9.00
X51005568913,IKANO HANDEL SDN BHD,True,20,27/07/17,True,8,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,True,52,538.00,True,6,NNN.NN       e.g. 9.00
X51005568914,IKANO HANDEL SDN BHD,True,20,09/08/17,True,8,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,True,52,99.80,True,5,NNN.NN       e.g. 9.00
X51005577192,FY EAGLE ENTERPRISE,True,19,04/12/2017,True,10,"NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR",True,90,7.00,True,4,NNN.NN       e.g. 9.00
X51005587254,TRI SHAAS SDN BHD,True,17,13/03/2017,True,10,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",True,73,5.00,True,4,NNN.NN       e.g. 9.00
X51005587267,TRI SHAAS SDN BHD,True,17,4/02/2017,True,9,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",True,73,85.10,True,5,NNN.NN       e.g. 9.00
X51005605284,ADVANCO COMPANY,True,15,23/03/2018,True,10,"NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",True,76,83.00,True,5,NNN.NN       e.g. 9.00
X51005605285,AEON CO. (M) BHD.,True,17,22/03/2018,True,10,"3 FLOOR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",True,81,5.90,True,4,NNN.NN       e.g. 9.00
X51005605286,AEON CO. (M) BHD,True,16,09/02/2018,True,10,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",True,81,5.90,True,4,NNN.NN       e.g. 9.00
X51005605333,POPULAR BOOK CO. (M) SDN BHD,True,28,07/01/18,True,8,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA KL FESTIVAL CITY MALL",True,85,31.45,True,5,NNN.NN       e.g. 9.00
X51005605334,POPULAR BOOK CO. (M) SDN BHD,True,28,29/03/18,True,8,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",True,63,9.65,True,4,NNN.NN       e.g. 9.00
X51005605335,POPULAR BOOK CO. (M) SDN BHD,True,28,12/01/18,True,8,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",True,63,21.00,True,5,NNN.NN       e.g. 9.00
X51005663272,WAHIN HARDWARE SDN BHD,True,22,04/12/17,True,8,"425, JALAN PAHANG, SETAPAK, 53000 KUALA LUMPUR.",True,47,42.40,True,5,NNN.NN       e.g. 9.00
X51005663273,SYARIKAT PERNIAGAAN GIN KEE,True,27,04/12/2017,True,10,"NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR",True,53,47.70,True,5,NNN.NN       e.g. 9.00
X51005663276,SYARIKAT PERNIAGAAN GIN KEE,True,27,02/12/2017,True,10,"NO 290, JALAN AIR PANAS. SETAPAK. 53200, KUALA LUMPUR.",True,54,7.42,True,4,NNN.NN       e.g. 9.00
X51005663277,SYARIKAT PERNIAGAAN GIN KEE,True,27,02/12/2017,True,10,"NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR.",True,54,29.68,True,5,NNN.NN       e.g. 9.00
X51005663278,IKANO HANDEL SDN BHD,True,20,23/12/17,True,8,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,True,52,73.30,True,5,NNN.NN       e.g. 9.00
X51005663279,SYARIKAT PERNIAGAAN GIN KEE,True,27,28/12/2017,True,10,"NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR",True,53,148.40,True,6,NNN.NN       e.g. 9.00
X51005663280,T.A.S LEISURE SDN BHD,True,21,30 DEC 17,True,9,,False,0,102.40,True,6,NNN.NN       e.g. 9.00
X51005663293,SWEET FOREST CAFE,True,17,14-02-2018,True,10,"NO 21, JLN BUNGA KANTAN TAMAN P. RAMLEE SETAPAK 53000 KUALA LUMPUR",True,66,30.30,True,5,NNN.NN       e.g. 9.00
X51005663297,BEYOND BROTHERS HARDWARE,True,24,14/03/2018,True,10,"LOT 1-0-2, JLN 1/50, DIAMOND SQUARE, OFF JLN GOMBAK 53000 KUALA LUMPUR",True,70,599.45,True,6,NNN.NN       e.g. 9.00
X51005663298,ZAWIAJAYA FOOD N BEVERAGE SDN BHD,True,33,21-03-2018,True,10,"106-107, LEVEL 1 THE MINES MALL SERDANG SRI KEMBANGAN, 43300 SELANGOR DARUL EHSAN.",True,82,48.15,True,5,NNN.NN       e.g. 9.00
X51005663301,LIM SENG THO HARDWARE TRADING,True,29,03/02/2018,True,10,"NO 7. SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA",True,78,7.00,True,4,NNN.NN       e.g. 9.00
X51005663311,LIM SENG THO HARDWARE TRADING,True,29,09/02/2018,True,10,"NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA",True,78,7.00,True,4,NNN.NN       e.g. 9.00
X51005663317,LIM SENG THO HARDWARE TRADING,True,29,29/12/2017,True,10,"NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA",True,78,6.00,True,4,NNN.NN       e.g. 9.00
X51005663324,SYARIKAT PERNIAGAAN GIN KEE,True,27,28/12/2017,True,10,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",True,54,465.34,True,6,NNN.NN       e.g. 9.00
X51005675095,SUN VICTORY SDN BHD,True,19,14/01/2018,True,10,"LEVEL G2, BLOCK D1, SOLARIS DUTAMAS, NO.1, JALAN DUTAMAS 1, 50480 KUALA LUMPUR",True,78,RM4.00,True,6,CCY+amount   e.g. MYR 9.00
X51005676536,SYARIKAT PERNIAGAAN GIN KEE,True,27,02/01/2018,True,10,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",True,54,93.07,True,5,NNN.NN       e.g. 9.00
