text,x_min,y_min,x_max,y_max,width,height,label,stem,x_norm,y_norm,x_center_norm,y_center_norm,width_norm,height_norm
ITEM,20,439,53,454,33,15,O,X00016469622,0.0467,0.4829,0.0853,0.4912,0.0771,0.0165
QTY,170,437,197,457,27,20,O,X00016469622,0.3972,0.4807,0.4287,0.4917,0.0631,0.022
S/PRICE,232,435,287,454,55,19,O,X00016469622,0.5421,0.4785,0.6063,0.489,0.1285,0.0209
AMOUNT,313,438,378,453,65,15,O,X00016469622,0.7313,0.4818,0.8072,0.4901,0.1519,0.0165
TAX,398,438,426,454,28,16,O,X00016469622,0.9299,0.4818,0.9626,0.4906,0.0654,0.0176
E8318,21,462,69,478,48,16,O,X00016469622,0.0491,0.5083,0.1051,0.5171,0.1121,0.0176
1,172,457,194,475,22,18,B-ADDRESS,X00016469622,0.4019,0.5028,0.4276,0.5127,0.0514,0.0198
80.91,234,459,286,477,52,18,O,X00016469622,0.5467,0.505,0.6075,0.5149,0.1215,0.0198
80.91,328,457,380,480,52,23,O,X00016469622,0.7664,0.5028,0.8271,0.5154,0.1215,0.0253
SR,395,459,428,478,33,19,O,X00016469622,0.9229,0.505,0.9614,0.5154,0.0771,0.0209
ELEGANT SCHTR BAG 15,21,486,231,502,210,16,O,X00016469622,0.0491,0.5347,0.2944,0.5435,0.4907,0.0176
TOTAL QTY,65,509,133,528,68,19,O,X00016469622,0.1519,0.56,0.2313,0.5704,0.1589,0.0209
1,175,509,192,524,17,15,B-ADDRESS,X00016469622,0.4089,0.56,0.4287,0.5682,0.0397,0.0165
80.91,329,509,380,528,51,19,O,X00016469622,0.7687,0.56,0.8283,0.5704,0.1192,0.0209
TOTAL SALES (EXCLUDING GST) :,66,546,289,562,223,16,O,X00016469622,0.1542,0.6007,0.4147,0.6095,0.521,0.0176
80.91,334,546,375,562,41,16,O,X00016469622,0.7804,0.6007,0.8283,0.6095,0.0958,0.0176
DISCOUNT :,207,572,290,588,83,16,O,X00016469622,0.4836,0.6293,0.5806,0.6381,0.1939,0.0176
0.00,342,572,377,588,35,16,O,X00016469622,0.7991,0.6293,0.84,0.6381,0.0818,0.0176
TOTAL GST :,198,599,290,616,92,17,O,X00016469622,0.4626,0.659,0.5701,0.6683,0.215,0.0187
0.00,336,597,385,619,49,22,O,X00016469622,0.785,0.6568,0.8423,0.6689,0.1145,0.0242
ROUNDING,202,628,273,646,71,18,O,X00016469622,0.472,0.6909,0.5549,0.7008,0.1659,0.0198
-0.01,333,626,386,646,53,20,O,X00016469622,0.778,0.6887,0.84,0.6997,0.1238,0.022
TOTAL SALES (INCLUSIVE OF GST) :,33,658,290,676,257,18,O,X00016469622,0.0771,0.7239,0.3773,0.7338,0.6005,0.0198
80.90,331,653,383,674,52,21,B-TOTAL,X00016469622,0.7734,0.7184,0.8341,0.7299,0.1215,0.0231
CASH :,227,687,292,705,65,18,O,X00016469622,0.5304,0.7558,0.6063,0.7657,0.1519,0.0198
100.00,326,689,377,703,51,14,O,X00016469622,0.7617,0.758,0.8213,0.7657,0.1192,0.0154
CHANGE :,211,712,290,731,79,19,O,X00016469622,0.493,0.7833,0.5853,0.7937,0.1846,0.0209
19.10,335,713,378,729,43,16,O,X00016469622,0.7827,0.7844,0.8329,0.7932,0.1005,0.0176
GST SUMMARY,50,762,187,778,137,16,O,X00016469622,0.1168,0.8383,0.2769,0.8471,0.3201,0.0176
TAX CODE,55,793,132,809,77,16,O,X00016469622,0.1285,0.8724,0.2185,0.8812,0.1799,0.0176
%,174,794,188,810,14,16,O,X00016469622,0.4065,0.8735,0.4229,0.8823,0.0327,0.0176
AMT (RM),228,793,303,811,75,18,O,X00016469622,0.5327,0.8724,0.6203,0.8823,0.1752,0.0198
TAX (RM),334,792,405,810,71,18,O,X00016469622,0.7804,0.8713,0.8633,0.8812,0.1659,0.0198
SR,55,815,80,832,25,17,O,X00016469622,0.1285,0.8966,0.1577,0.9059,0.0584,0.0187
0,168,813,191,831,23,18,B-ADDRESS,X00016469622,0.3925,0.8944,0.4194,0.9043,0.0537,0.0198
80.91,258,814,301,831,43,17,O,X00016469622,0.6028,0.8955,0.653,0.9048,0.1005,0.0187
0.00,371,815,406,829,35,14,O,X00016469622,0.8668,0.8966,0.9077,0.9043,0.0818,0.0154
TOTAL :,140,841,206,867,66,26,O,X00016469622,0.3271,0.9252,0.4042,0.9395,0.1542,0.0286
80.91,256,844,301,862,45,18,O,X00016469622,0.5981,0.9285,0.6507,0.9384,0.1051,0.0198
0.00,371,847,405,863,34,16,O,X00016469622,0.8668,0.9318,0.9065,0.9406,0.0794,0.0176
GOODS SOLD ARE NOT REFUNDABLE ONLY,71,895,385,909,314,14,O,X00016469622,0.1659,0.9846,0.5327,0.9923,0.7336,0.0154
TAN WOON YANN,83,41,331,78,248,37,O,X00016469623,0.1865,0.0421,0.4652,0.0611,0.5573,0.038
MR D.I.Y. (M) SDN BHD,109,171,330,191,221,20,B-COMPANY,X00016469623,0.2449,0.1756,0.4933,0.1858,0.4966,0.0205
(CO. RFG : 860671-D),122,190,325,213,203,23,O,X00016469623,0.2742,0.1951,0.5022,0.2069,0.4562,0.0236
"LOT 1851-A & 1851-B, JALAN KPB 6,",47,208,391,233,344,25,B-ADDRESS,X00016469623,0.1056,0.2136,0.4921,0.2264,0.773,0.0257
"KAWASAN PERINDUSTRIAN BALAKONG,",62,235,381,254,319,19,I-ADDRESS,X00016469623,0.1393,0.2413,0.4978,0.251,0.7169,0.0195
"43300 SERI KEMBANGAN, SELANGOR",70,256,384,275,314,19,I-ADDRESS,X00016469623,0.1573,0.2628,0.5101,0.2726,0.7056,0.0195
(TESCO PUTRA NILAI),125,275,318,297,193,22,I-ADDRESS,X00016469623,0.2809,0.2823,0.4978,0.2936,0.4337,0.0226
-INVOICE-,177,295,266,317,89,22,O,X00016469623,0.3978,0.3029,0.4978,0.3142,0.2,0.0226
KILAT AUTO ECO WASH & SHINE ES1000 1L,12,337,402,362,390,25,O,X00016469623,0.027,0.346,0.4652,0.3588,0.8764,0.0257
WA45 /2A - 12,20,360,160,383,140,23,O,X00016469623,0.0449,0.3696,0.2022,0.3814,0.3146,0.0236
9555916500133,16,382,156,402,140,20,O,X00016469623,0.036,0.3922,0.1933,0.4025,0.3146,0.0205
1,245,380,260,402,15,22,B-ADDRESS,X00016469623,0.5506,0.3901,0.5674,0.4014,0.0337,0.0226
X,265,385,288,400,23,15,O,X00016469623,0.5955,0.3953,0.6213,0.403,0.0517,0.0154
3.11,300,382,347,404,47,22,O,X00016469623,0.6742,0.3922,0.727,0.4035,0.1056,0.0226
3.11,371,385,419,404,48,19,O,X00016469623,0.8337,0.3953,0.8876,0.405,0.1079,0.0195
KILAT' ECO AUTO WASH &WAX EW-1000-1L,15,402,394,424,379,22,O,X00016469623,0.0337,0.4127,0.4596,0.424,0.8517,0.0226
WA44-A - 12,16,424,134,446,118,22,O,X00016469623,0.036,0.4353,0.1685,0.4466,0.2652,0.0226
9555916500126,18,447,165,468,147,21,O,X00016469623,0.0404,0.4589,0.2056,0.4697,0.3303,0.0216
1,244,444,259,467,15,23,B-ADDRESS,X00016469623,0.5483,0.4559,0.5652,0.4677,0.0337,0.0236
X,267,446,282,468,15,22,O,X00016469623,0.6,0.4579,0.6169,0.4692,0.0337,0.0226
4.62,297,447,350,472,53,25,O,X00016469623,0.6674,0.4589,0.727,0.4718,0.1191,0.0257
4.62,369,444,417,470,48,26,O,X00016469623,0.8292,0.4559,0.8831,0.4692,0.1079,0.0267
WD40 27ML MOO 2572,19,467,217,489,198,22,O,X00016469623,0.0427,0.4795,0.2652,0.4908,0.4449,0.0226
WA43-A - 24,18,489,140,508,122,19,O,X00016469623,0.0404,0.5021,0.1775,0.5118,0.2742,0.0195
079567600084,19,510,152,531,133,21,O,X00016469623,0.0427,0.5236,0.1921,0.5344,0.2989,0.0216
1,245,509,259,528,14,19,B-ADDRESS,X00016469623,0.5506,0.5226,0.5663,0.5323,0.0315,0.0195
X,265,511,285,530,20,19,O,X00016469623,0.5955,0.5246,0.618,0.5344,0.0449,0.0195
11.23,285,509,347,532,62,23,O,X00016469623,0.6404,0.5226,0.7101,0.5344,0.1393,0.0236
